name,organization,country,handle,scholar_url,linkedin_url
Yi Tay,Google Deepmind,Singapore,YiTayML,https://scholar.google.com/citations?user=VBclY_cAAAAJ&hl=en,https://sg.linkedin.com/in/tayyi
Jon Barron,Google Deepmind,Canada,jon_barron,https://scholar.google.com/citations?user=jktWnL8AAAAJ&hl=en,https://www.linkedin.com/in/jonathanbarron
sami jaghouar,Prime Intellect,France,samsja19,https://scholar.google.com/citations?user=EUf69HoAAAAJ&hl=fr,https://www.linkedin.com/in/sami-jaghouar-805505193/en
Jack Rae,Meta,UK,jack_w_rae,https://scholar.google.com/citations?user=uevMVaQAAAAJ&hl=en,https://www.linkedin.com/in/jackrae
Robin Rombach,Black Forest Labs,Germany,robrombach,https://scholar.google.com/citations?user=ygdQhrIAAAAJ&hl=en,Not Found
collin burns,Anthropic,USA,null,https://scholar.google.com/citations?user=JGS2xjkAAAAJ&hl=en,https://www.linkedin.com/in/collin-burns
jonathan gordon,OpenAI,Israel,GordonJo76,https://scholar.google.com/citations?user=IZGi3pEAAAAJ&hl=en,https://www.linkedin.com/in/jonathan-gordon-7bb49a7a
rahul arya,Google DeepMind,Hong Kong,Not Found,null,https://www.linkedin.com/in/rahul-arya
Leo Gao,OpenAI,Canada,nabla_theta,https://scholar.google.com/citations?user=r6mBY50AAAAJ&hl=en,Not Found
christopher re,Stanford University,USA,hazyresearch,Not Found,https://www.linkedin.com/in/chris-re-824a76215
Ian Goodfellow,Google Deepmind,USA,goodfellow_ian,https://scholar.google.com/citations?user=iYN86KEAAAAJ&hl=en,https://www.linkedin.com/in/ian-goodfellow-b7187213
Xuezhi Wang,Google Deepmind,China,Not Found,https://scholar.google.com/citations?user=ScLUQ-YAAAAJ&hl=en,https://www.linkedin.com/in/xuezhi-wang-8189b320
Hongyu Ren,Meta,China,ren_hongyu,https://scholar.google.com/citations?user=cbuy0ocAAAAJ,https://www.linkedin.com/in/hongyu-ren-566098155
Aidan Gomez,Cohere,Canada,aidangomez,https://scholar.google.com/citations?user=2oq9614AAAAJ&hl=en,https://ca.linkedin.com/in/aidangomez
James Bradbury,Anthropic,USA,jekbradbury,https://scholar.google.com/citations?user=GprA5UsAAAAJ&hl=en,https://www.linkedin.com/in/james-bradbury-93a44455
Albert Gu,Cartesia AI,USA,_albertgu,https://scholar.google.com/citations?user=DVCHv1kAAAAJ&hl=en,https://www.linkedin.com/in/albert-gu-8ab677139
gb parascondolo,OpenAI,Italy,giambattista92,https://scholar.google.com/citations?user=1zCDX_UAAAAJ&hl=it,https://www.linkedin.com/in/giambattista-parascandolo-216787a4
Eric Zelikman,xAI,USA,ericzelikman,https://scholar.google.com/citations?user=V5B8dSUAAAAJ&hl=en,https://www.linkedin.com/in/ericzelikman
Sholto Douglas,Anthropic,Australia,_sholtodouglas,https://scholar.google.com/citations?user=M_BKn9cAAAAJ&hl=en,https://www.linkedin.com/in/sholto
eric mitchell,OpenAI,USA,ericmitchellai,https://scholar.google.com/citations?user=q77J4fgAAAAJ&hl=en,https://www.linkedin.com/in/ericanthonymitchell
zico kolter,Carnegie Mellon University,USA,zicokolter,https://scholar.google.com/citations?user=UXh1I6UAAAAJ&hl=en,https://www.linkedin.com/in/zico-kolter-560382a4
Hyung Won Chung,Meta,South Korea,hwchung27,https://scholar.google.com/citations?user=1CAlXvYAAAAJ&hl=en,https://www.linkedin.com/in/hyung-won-chung-5801b9a4
luke metz,Thinking Machines,USA,Luke_Metz,https://scholar.google.com/citations?user=k_u5ULgAAAAJ&hl=en,https://www.linkedin.com/in/luke-metz-5003046a
Percy Liang,Together AI,USA,percyliang,https://scholar.google.com/citations?user=pouyVyUAAAAJ&hl=en,https://www.linkedin.com/in/percy-liang-717b8a
Lucas Beyer,Meta,Belgium,giffmana,https://scholar.google.com/citations?user=p2gwhK4AAAAJ&hl=fr,https://ch.linkedin.com/in/lucas-beyer-7148709b
Gottfried Wilhelm Leibniz,Royal Society,Germany,Not Found,Not Found,Not Found
ethan perez,Anthropic,USA,EthanJPerez,https://scholar.google.com/citations?user=za0-taQAAAAJ&hl=en,https://www.linkedin.com/in/ethanjperez
Rowan Zellers,Thinking Machines,USA,rown,https://scholar.google.com/citations?user=CFp3IakAAAAJ&hl=en,https://www.linkedin.com/in/rowanzellers
Long Ouyang,OpenAI,USA,longouyang,https://scholar.google.com/citations?user=HWvPSFMAAAAJ&hl=en,https://www.linkedin.com/in/longouyang
Naman Goyal,Thinking Machines,Canada,NamanGoyal21,Not Found,https://www.linkedin.com/in/ngoyal2707
Jurgen Schmidhuber,Technical University of Munich,Germany,SchmidhuberAI,null,https://ch.linkedin.com/in/j%C3%BCrgen-schmidhuber-39226872
Sergey Levine,University of California,USA,svlevine,https://scholar.google.com/citations?user=8R35rCwAAAAJ&hl=en,https://www.linkedin.com/in/sergey-levine-5a31a24
Fei-Fei Li,World Labs,USA,drfeifei,https://scholar.google.com/citations?user=rDfyQnIAAAAJ&hl=en,https://www.linkedin.com/in/fei-fei-li-4541247
jonas adler,Google DeepMind,Sweden,JonasAAdler,https://scholar.google.com/citations?user=196_CDcAAAAJ&hl=sv,https://uk.linkedin.com/in/jonas-adler
andrew tulloch,Thinking Machines,Australia,ajtulloch,https://scholar.google.com/citations?user=duSEbnYAAAAJ&hl=en,https://www.linkedin.com/in/andrew-tulloch-17238745
Yang Song,OpenAI,China,DrYangSong,https://scholar.google.com/citations?user=o_J2CroAAAAJ&hl=en,https://www.linkedin.com/in/yang-song-machine-learning
Sam McCandlish,Anthropic,USA,samsamoa,https://scholar.google.com/citations?user=gHp0pu4AAAAJ&hl=en,https://www.linkedin.com/in/sam-mccandlish
Jan Leike,Anthropic,Germany,janleike,https://scholar.google.com/citations?user=beiWcokAAAAJ&hl=en,null
Jeffrew Wu,Anthropic,USA,WuTheFWasThat,https://scholar.google.com/citations?user=x4JAvwMAAAAJ&hl=en,Not Found
dan selsam,OpenAI,USA,Not Found,https://scholar.google.com/citations?user=yaSqFaEAAAAJ&hl=en,Not Found
Tri Dao,Together.AI,Vietnam,tri_dao,https://scholar.google.com/citations?user=NQRw0bQAAAAJ&hl=en,https://www.linkedin.com/in/tri-dao-71544155
